id,type,date,value,category,description,payment_method,status,equipment_id,contract_id,created_at,reference,is_fixed,sector,fixed_duration_months,installment_number,installment_total,cost_center_id,debit_amount,debit_description,has_debit
5aaa955a-f07b-4695-aa14-f01237fa7a9f,DESPESA,2025-10-01,3500.00,terceirizados,Salário Operador Poliguindaste,,CONFIRMADO,,,2025-12-03 18:23:02.803037+00,,true,terceirizados,12,1,,cabralia,0.00,,false
5ae929d6-4df6-4607-91d8-0624fc9351f2,DESPESA,2026-08-01,5315.00,funcionario,Salário Operador Motoniveladora,,CONFIRMADO,514b7ed1-6ebb-42bf-912b-fd2bfa8abdad,,2025-12-03 16:18:20.194621+00,,false,now,,11,,cabralia,0.00,,false
5b33e700-93c2-4409-9ba7-7be4c12fa52e,DESPESA,2026-01-01,5315.00,terceirizados,Salário Operador Motoniveladora 2 Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:32.76649+00,,false,terceirizados,,4,,cabralia,0.00,,false
5b5780b8-c1aa-404c-b906-6ce7e2b559a1,DESPESA,2026-01-01,12000.00,terceirizados,Locação Caçamba 04,,CONFIRMADO,,,2025-12-03 16:18:26.982406+00,,false,particular,,4,,cabralia,0.00,,false
5b95a571-58bf-42eb-8c6e-1a045ad3e554,DESPESA,2026-09-01,-34272.00,terceirizados,Abatimento Imposto,,CONFIRMADO,,,2025-12-03 16:18:16.107533+00,,false,felipe_viatransportes,,12,,cabralia,0.00,,false
5be0a389-45f9-406c-a9c0-098b1f0ad072,DESPESA,2026-06-01,3581.66,funcionario,Salário Operador Retroescavadeira,,CONFIRMADO,04561899-3a03-45c9-aecd-c0c2d5dee96c,,2025-12-03 16:18:20.968926+00,,false,now,,9,,cabralia,0.00,,false
5e54dfe9-b5c3-442c-bba9-b04339eee8ae,DESPESA,2025-12-01,21000.00,terceirizados,Locação Retroescavadeira Felipe,,CONFIRMADO,,,2025-12-03 16:18:08.644783+00,,false,felipe_viatransportes,,3,,cabralia,0.00,,false
5ede50e7-7c56-4f0f-ac39-c392cb08a88d,DESPESA,2026-07-01,45986.44,terceirizados,Locação Motoniveladora Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:16.869868+00,"__DEBIT__:{""amount"":5315,""description"":""Operador""}",false,ronaldo,,10,,cabralia,0.00,,false
5f7e172d-d6f1-4571-8406-3143db70e65a,DESPESA,2025-12-01,22000.00,equipamentos,Locação Pá Carregadeira,,CONFIRMADO,c4ffceac-4dd7-4951-b478-6cb7f143416f,,2025-12-04 09:18:28.157028+00,,false,now,,3,,cabralia,0.00,,false
5f9f74fa-9c15-414e-afe1-25ce07400a40,DESPESA,2025-12-01,22000.00,equipamentos,Locação Rolo Compactador,,CONFIRMADO,dd39670a-04b3-4853-babc-1867e29fd5cd,,2025-12-03 16:18:06.719533+00,,false,now,,3,,cabralia,0.00,,false
605b6ad1-0253-4e25-b9d3-e90b4dd11d47,DESPESA,2026-07-01,3256.00,funcionario,Salário Operador Bobcat,,CONFIRMADO,4bc7e9b9-0f0a-48c2-b7e3-bcc3ce8d342d,,2025-12-03 16:18:23.757098+00,,false,now,,10,,cabralia,0.00,,false
611da6a2-c5db-4d29-a49d-da4e6314e2a9,DESPESA,2026-05-01,21000.00,terceirizados,Locação Retroescavadeira Felipe,,CONFIRMADO,,,2025-12-03 16:18:09.037369+00,,false,felipe_viatransportes,,8,,cabralia,0.00,,false
619b51ea-6852-40b0-a522-b0ca876d4ddc,DESPESA,2026-08-02,3581.66,funcionario,Salário Operador Pá Carregadeira,,CONFIRMADO,c4ffceac-4dd7-4951-b478-6cb7f143416f,,2025-12-03 16:18:22.955003+00,,false,now,,11,,cabralia,0.00,,false
61a5c663-428d-4de7-b072-32fdf9fd3f93,DESPESA,2026-03-01,18000.00,equipamentos,Locação Retroescavadeira,,CONFIRMADO,04561899-3a03-45c9-aecd-c0c2d5dee96c,,2025-12-03 16:18:03.989003+00,,false,now,,6,,cabralia,0.00,,false
61ae45d0-bd54-404c-a2ae-5e53c5038142,DESPESA,2026-03-01,-72744.44,terceirizados,Patrol + Revisões,,CONFIRMADO,,,2025-12-03 16:58:37.87744+00,,false,ronaldo,,6,,cabralia,0.00,,false
62a9d3c9-2463-4f5b-b742-703618e1d505,DESPESA,2026-07-01,22000.00,equipamentos,Locação Rolo Compactador,,CONFIRMADO,dd39670a-04b3-4853-babc-1867e29fd5cd,,2025-12-03 16:18:07.257583+00,,false,now,,10,,cabralia,0.00,,false
63919461-44fd-42ea-a5d0-da24321bab54,DESPESA,2026-05-01,14000.00,terceirizados,Locação Poliguindaste Felipe,,CONFIRMADO,,,2025-12-03 16:18:14.892557+00,,false,felipe_viatransportes,,8,,cabralia,0.00,,false
64be1fdf-f42e-4b0b-b0dd-0944291f1da1,DESPESA,2026-05-01,21000.00,terceirizados,Locação Caçamba 01 Felipe,,CONFIRMADO,,,2025-12-03 16:18:12.147906+00,,false,felipe_viatransportes,,8,,cabralia,0.00,,false
64d9937a-2da6-46f3-876c-7dd83404ce5e,DESPESA,2026-04-01,45986.44,terceirizados,Locação Motoniveladora Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:16.644633+00,"__DEBIT__:{""amount"":5315,""description"":""Operador""}",false,ronaldo,,7,,cabralia,0.00,,false
64f6919d-8b18-4303-8e76-a269d7f21da1,DESPESA,2026-02-01,-72744.44,terceirizados,Patrol + Revisões,,CONFIRMADO,,,2025-12-03 16:58:37.772396+00,,false,ronaldo,,5,,cabralia,0.00,,false
65eecb82-4f08-456b-9852-fa4aec7b2809,DESPESA,2026-06-01,10692.12,terceirizados,Locação Estacionárias Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:18.643302+00,,false,ronaldo,,9,,cabralia,0.00,,false
